City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
240,Usak,TR,2021-01-31 21:04:30,38.5,29.4167,42.19,72,73,14.03
241,Itoman,JP,2021-01-31 21:06:10,26.1247,127.6694,60.8,72,20,3.44
242,Istok,XK,2021-01-31 21:01:12,42.7808,20.4875,42.8,87,75,3.44
243,Hare Bay,CA,2021-01-31 21:06:10,48.8499,-54.0148,28.4,93,90,24.16
244,Mount Isa,AU,2021-01-31 21:06:11,-20.7333,139.5,78.8,61,100,4.61
245,Cayenne,GF,2021-01-31 21:06:11,4.9333,-52.3333,80.6,78,75,12.66
246,Belaya Gora,RU,2021-01-31 21:06:11,68.5333,146.4167,-32.24,84,100,3.8
247,Kruisfontein,ZA,2021-01-31 21:06:11,-34.0033,24.7314,73.99,72,44,8.01
248,Burgos,ES,2021-01-31 21:03:03,42.3394,-3.7079,46.99,81,65,10.36
249,Karaton,ID,2021-01-31 21:06:11,-6.3424,106.1045,78.01,88,40,1.14
250,Wronki,PL,2021-01-31 21:04:25,52.7105,16.3804,23.0,93,7,4.61
251,Norman Wells,CA,2021-01-31 21:06:12,65.282,-126.8329,-18.4,76,75,4.61
252,Mangrol,IN,2021-01-31 21:06:12,21.1167,70.1167,64.51,52,0,11.7
253,Bandarbeyla,SO,2021-01-31 21:06:12,9.4942,50.8122,73.11,71,24,17.65
254,Nova Granada,BR,2021-01-31 21:06:12,-20.5339,-49.3142,78.8,57,75,6.91
255,Sobolevo,RU,2021-01-31 21:06:12,54.4299,31.8996,20.17,96,88,12.75
256,Plymouth,US,2021-01-31 21:01:42,41.8334,-70.8328,28.0,68,75,5.75
257,Srivardhan,IN,2021-01-31 21:06:12,18.0333,73.0167,74.55,54,0,5.59
258,Emerald,AU,2021-01-31 21:06:13,-23.5333,148.1667,75.0,78,3,3.44
259,Flinders,AU,2021-01-31 21:04:44,-34.5833,150.8552,69.01,90,89,1.01
260,Cabral,DO,2021-01-31 21:06:13,18.25,-71.2167,82.4,83,20,18.41
261,Salina,US,2021-01-31 21:06:13,38.8403,-97.6114,35.6,75,90,14.97
262,Ennis,IE,2021-01-31 21:06:13,52.8436,-8.9864,42.8,93,90,11.5
263,Khatanga,RU,2021-01-31 21:06:13,71.9667,102.5,-41.6,80,34,7.4
264,Luanda,AO,2021-01-31 21:06:13,-8.8368,13.2343,82.4,74,20,9.22
265,Isangel,VU,2021-01-31 21:06:14,-19.55,169.2667,77.0,88,90,17.38
266,Xichang,CN,2021-01-31 21:06:15,27.8964,102.2634,38.39,76,3,1.52
267,Clemencia,CO,2021-01-31 21:06:15,10.5665,-75.325,87.8,66,0,13.8
268,Mabama,TZ,2021-01-31 21:06:15,-5.1333,32.5333,66.42,87,100,1.19
269,Mokhsogollokh,RU,2021-01-31 21:06:15,61.4681,128.9203,-37.7,80,100,6.91
270,Shingu,JP,2021-01-31 21:06:15,33.7333,135.9833,40.86,69,0,4.88
271,Alcantara,BR,2021-01-31 21:06:15,-2.4089,-44.4147,84.2,79,0,13.8
272,Namibe,AO,2021-01-31 21:06:14,-15.1961,12.1522,73.31,75,96,8.66
273,Tuatapere,NZ,2021-01-31 21:06:15,-46.1333,167.6833,62.83,64,8,2.33
274,Deputatskiy,RU,2021-01-31 21:06:16,69.3,139.9,-30.98,87,98,1.52
275,Sladkovo,RU,2021-01-31 21:06:16,55.5284,70.3385,3.02,94,59,5.66
276,Chifeng,CN,2021-01-31 21:02:24,42.2683,118.9636,5.04,83,0,12.97
277,Bairiki,KI,2021-01-31 21:06:16,1.3292,172.9752,80.6,83,20,6.91
278,Olafsvik,IS,2021-01-31 21:06:16,64.8945,-23.7142,29.82,95,100,10.87
279,Half Moon Bay,US,2021-01-31 21:06:16,37.4636,-122.4286,64.0,58,75,8.59
280,Manzhouli,CN,2021-01-31 21:06:16,49.6,117.4333,-23.94,83,10,9.75
281,Lahaina,US,2021-01-31 21:06:17,20.8783,-156.6825,78.8,57,20,17.27
282,Klaksvik,FO,2021-01-31 21:06:17,62.2266,-6.589,24.8,86,75,13.76
283,Isernia,IT,2021-01-31 21:06:17,41.6002,14.2382,48.99,93,99,1.01
284,Kahului,US,2021-01-31 21:06:17,20.8947,-156.47,78.8,57,20,17.27
285,Colimes,EC,2021-01-31 21:06:17,-1.55,-80.0167,86.0,62,40,4.61
286,Bambous Virieux,MU,2021-01-31 21:06:17,-20.3428,57.7575,81.0,78,75,12.66
287,Lebu,CL,2021-01-31 21:06:18,-37.6167,-73.65,60.44,78,6,16.11
288,San Andres,CO,2021-01-31 21:06:18,12.5847,-81.7006,84.2,70,20,13.8
289,Jining,CN,2021-01-31 21:06:18,35.405,116.5814,39.24,60,21,5.1
290,Sorland,NO,2021-01-31 21:06:18,67.667,12.6934,19.4,86,0,3.44
291,Boca Do Acre,BR,2021-01-31 21:06:18,-8.7522,-67.3978,82.15,84,63,0.6
292,Mahebourg,MU,2021-01-31 21:06:15,-20.4081,57.7,80.6,78,75,12.66
293,Kavaratti,IN,2021-01-31 21:06:18,10.5669,72.642,81.25,72,0,9.57
