City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description,Date
200,Ust-Ilimsk,58.0006,102.6619,-38.74,79,61,2.64,RU,broken clouds,2021-01-31 23:54:16
201,Zhigansk,66.7697,123.3711,-45.08,76,44,2.48,RU,scattered clouds,2021-01-31 23:41:01
202,Kieta,-6.2167,155.6333,86.94,68,97,15.08,PG,light rain,2021-01-31 23:44:47
203,Saint-Philippe,-21.3585,55.7679,80.6,69,0,13.8,RE,light rain,2021-01-31 23:54:17
204,Sarrebourg,48.7333,7.05,39.2,93,75,2.3,FR,light rain,2021-01-31 23:54:17
205,Ust-Kuyga,70.0167,135.6,-37.55,80,91,4.74,RU,overcast clouds,2021-01-31 23:54:17
206,Berdigestyakh,62.0989,126.6992,-41.48,79,100,6.4,RU,overcast clouds,2021-01-31 23:54:17
207,Chanute,37.6792,-95.4572,37.4,70,90,17.27,US,overcast clouds,2021-01-31 23:54:17
208,Nome,64.5011,-165.4064,1.4,55,1,10.36,US,clear sky,2021-01-31 23:53:27
209,Hambantota,6.1241,81.1185,76.28,82,40,12.17,LK,scattered clouds,2021-01-31 23:54:18
210,Kabalo,-6.05,26.9167,70.21,94,100,0.83,CD,light rain,2021-01-31 23:54:18
211,Baker City,44.7749,-117.8344,44.6,49,1,11.5,US,clear sky,2021-01-31 23:54:18
212,Port Hardy,50.6996,-127.4199,44.6,87,75,5.75,CA,light rain,2021-01-31 23:44:19
213,Zhanaozen,43.3,52.8,41.63,84,89,7.07,KZ,overcast clouds,2021-01-31 23:54:18
214,Ostrovnoy,68.0531,39.5131,11.08,94,88,4.43,RU,overcast clouds,2021-01-31 23:54:18
215,Beringovskiy,63.05,179.3167,13.68,96,100,30.56,RU,snow,2021-01-31 23:54:18
216,Lazaro Cardenas,17.9583,-102.2,80.37,69,1,7.67,MX,clear sky,2021-01-31 23:54:19
217,Fallon,39.4735,-118.7774,48.2,57,75,10.36,US,broken clouds,2021-01-31 23:54:19
218,Jining,35.405,116.5814,44.01,1,21,5.23,CN,few clouds,2021-01-31 23:54:19
219,Veraval,20.9,70.3667,68.0,37,0,10.58,IN,clear sky,2021-01-31 23:54:19
220,Tuy Hoa,13.0833,109.3,69.98,87,99,5.82,VN,overcast clouds,2021-01-31 23:54:19
221,Vila Velha,-20.3297,-40.2925,78.8,78,20,16.11,BR,few clouds,2021-01-31 23:54:19
222,Marquetalia,5.2966,-75.055,64.85,77,86,2.46,CO,overcast clouds,2021-01-31 23:54:19
223,Andra,62.5147,65.8878,2.25,94,100,9.64,RU,overcast clouds,2021-01-31 23:54:20
224,Kholmskaya,44.846,38.389,46.99,74,74,6.44,RU,broken clouds,2021-01-31 23:54:20
225,Gallup,35.5281,-108.7426,44.6,39,1,13.8,US,clear sky,2021-01-31 23:51:22
226,Nemuro,43.3236,145.575,6.8,85,20,2.3,JP,few clouds,2021-01-31 23:45:12
227,Lavrentiya,65.5833,-171.0,-6.18,85,100,16.84,RU,overcast clouds,2021-01-31 23:50:38
228,Suhbaatar,50.2314,106.2078,-24.77,78,0,3.06,MN,clear sky,2021-01-31 23:54:20
229,Lhokseumawe,5.1801,97.1507,75.43,86,85,6.17,ID,overcast clouds,2021-01-31 23:54:21
230,Ilhabela,-23.7781,-45.3581,77.61,84,72,1.41,BR,broken clouds,2021-01-31 23:50:17
231,Hammerfest,70.6634,23.6821,26.6,86,75,14.97,NO,light snow,2021-01-31 23:54:21
232,Cayenne,4.9333,-52.3333,78.8,83,75,8.05,GF,broken clouds,2021-01-31 23:42:28
233,Chuy,-33.6971,-53.4616,69.04,91,100,13.51,UY,overcast clouds,2021-01-31 23:54:21
234,Seara,41.1818,-7.8003,55.0,8,77,5.01,PT,broken clouds,2021-01-31 23:54:21
235,Henties Bay,-22.116,14.2845,68.0,84,79,5.06,NA,broken clouds,2021-01-31 23:54:21
236,Mount Gambier,-37.8333,140.7667,59.0,88,100,8.05,AU,light rain,2021-01-31 23:54:21
